ngc_bmu_id,fuel,gco2_per_kWh,eutl_account
ABTH7,coal,862.683691634281,97175
ABTH7G,ocgt,862.683691634281,97175
ABTH8,coal,862.683691634281,97175
ABTH8G,ocgt,862.683691634281,97175
ABTH9,coal,862.683691634281,97175
ABTH9G,ocgt,862.683691634281,97175
BAGE-1,ccgt,381.59999547527826,96786
BAGE-2,ccgt,381.59999547527826,96786
BRGG-1,ccgt,1529.9034459176005,97215
BRYP-1,ccgt,1089.6983718979052,97659
CARR-1,ccgt,371.0481967917568,112433
CARR-2,ccgt,371.0481967917568,112433
CDCL-1,ccgt,373.7186476783634,97059
CNQPS-1,ccgt,416.04428515714255,97054
CNQPS-2,ccgt,416.04428515714255,97054
CNQPS-3,ccgt,416.04428515714255,97054
CNQPS-4,ccgt,416.04428515714255,97054
CORB-1,ccgt,540.5994604176863,97634
COSO-1,ccgt,399.17380621301913,96934
COTPS-1,coal,932.462459864037,97778
COTPS-2,coal,932.462459864037,97778
COTPS-3,coal,932.462459864037,97778
COTPS-4,coal,932.462459864037,97778
COWE1,ocgt,1149.5735133357684,97160
COWE2,ocgt,1149.5735133357684,97160
DAMC-1,ccgt,396.739353252787,96906
DEEP-1,ccgt,414.0932341940827,97636
DIDC01G,ocgt,,97165
DIDC02G,ocgt,,97165
DIDC03G,ocgt,,97165
DIDC04G,ocgt,,97165
DIDCB5,ccgt,,97165
DIDCB6,ccgt,,97165
DRAXX-1,biomass,210.57159482728233,96842
DRAXX-10G,ocgt,210.57159482728233,96842
DRAXX-12G,ocgt,210.57159482728233,96842
DRAXX-2,biomass,210.57159482728233,96842
DRAXX-3,biomass,210.57159482728233,96842
DRAXX-4,biomass,210.57159482728233,96842
DRAXX-5,coal,210.57159482728233,96842
DRAXX-6,coal,210.57159482728233,96842
DRAXX-9G,ocgt,210.57159482728233,96842
EECL-1,ccgt,393.03371697175237,97044
EGGPS-1,coal,958.6239349361406,97445
EGGPS-2,coal,958.6239349361406,97445
EGGPS-3,coal,958.6239349361406,97445
EGGPS-4,coal,958.6239349361406,97445
FAWN-1,ccgt,53.25761707247593,96962
FELL-1,ccgt,2253.477026040067,97167
FERR-1,coal,928.9784159939734,98253
FERR-2,coal,928.9784159939734,98253
FERR-3,coal,928.9784159939734,98253
FERR-5G,oil,928.9784159939734,98253
FERR-8G,oil,928.9784159939734,98253
FIDL-1,coal,1066.9674013897331,98251
FIDL-2,coal,1066.9674013897331,98251
FIDL-2G,ocgt,1066.9674013897331,98251
FIDL-3,coal,1066.9674013897331,98251
FIDL-3G,ocgt,1066.9674013897331,98251
FIDL-4,coal,1066.9674013897331,98251
GRAI-6,ccgt,364.9976562179355,97061
GRAI-7,ccgt,364.9976562179355,97061
GRAI-8,ccgt,364.9976562179355,97061
GRAI1G,ocgt,,97051
GRAI4G,ocgt,,97051
GRMO-1,ccgt,678.1569474576662,97781
GYAR-1,ccgt,367.6920740049754,97183
HUMR-1,ccgt,450.8255227096087,96880
INDQ-1,ocgt,1060.1211072664357,96869
IRNPS-2,coal,,97047
KEAD-1,ccgt,398.77712865619407,98249
