ngc_bmu_id,fuel,gco2_per_kWh,pi_permits
BRGG-1,ccgt,1152.9858543903258,ZP3133LM
CARR-1,ccgt,371.062909185937,RP3438GG
CARR-2,ccgt,371.062909185937,RP3438GG
CDCL-1,ccgt,183.96036492102215,LP3631SL__NP3033RD
CORB-1,ccgt,533.4041138921804,LP3833LM
COSO-1,ccgt,399.80960110313015,EP3833LY
COTPS-1,coal,470.43176470625406,SP3535LT__WP3135JL
COTPS-2,coal,470.43176470625406,SP3535LT__WP3135JL
COTPS-3,coal,470.43176470625406,SP3535LT__WP3135JL
COTPS-4,coal,470.43176470625406,SP3535LT__WP3135JL
DAMC-1,ccgt,132.13402227951175,DP3933DN__NP3634WE__VP3133LP
DIDC01G,ocgt,,YP3030LR
DIDC02G,ocgt,,YP3030LR
DIDC03G,ocgt,,YP3030LR
DIDC04G,ocgt,,YP3030LR
DIDCB5,ccgt,378.45438998528937,YP3930LZ
DIDCB6,ccgt,378.45438998528937,YP3930LZ
DRAXX-1,biomass,894.070470390953,VP3530LS
DRAXX-10G,ocgt,894.070470390953,VP3530LS
DRAXX-12G,ocgt,894.070470390953,VP3530LS
DRAXX-2,biomass,894.070470390953,VP3530LS
DRAXX-3,biomass,894.070470390953,VP3530LS
DRAXX-4,biomass,894.070470390953,VP3530LS
DRAXX-5,coal,894.070470390953,VP3530LS
DRAXX-6,coal,894.070470390953,VP3530LS
DRAXX-9G,ocgt,894.070470390953,VP3530LS
EECL-1,ccgt,196.87646535971646,CP3537SM__NP3833RC
EGGPS-1,coal,958.7370129139074,VP3930LH
EGGPS-2,coal,958.7370129139074,VP3930LH
EGGPS-3,coal,958.7370129139074,VP3930LH
EGGPS-4,coal,958.7370129139074,VP3930LH
FAWN-1,ccgt,,WP3535LZ
FERR-1,coal,901.8162707379058,VP3337SR
FERR-2,coal,901.8162707379058,VP3337SR
FERR-3,coal,901.8162707379058,VP3337SR
FERR-5G,oil,901.8162707379058,VP3337SR
FERR-8G,oil,901.8162707379058,VP3337SR
FIDL-1,coal,1063.0956706004326,BS8192IV
FIDL-2,coal,1063.0956706004326,BS8192IV
FIDL-2G,ocgt,1063.0956706004326,BS8192IV
FIDL-3,coal,1063.0956706004326,BS8192IV
FIDL-3G,ocgt,1063.0956706004326,BS8192IV
FIDL-4,coal,1063.0956706004326,BS8192IV
GRAI-6,ccgt,182.36125527575018,EP3533RY__RP3432SG
GRAI-7,ccgt,182.36125527575018,EP3533RY__RP3432SG
