authorisation id / permit id,2013,2014,2015,2016,2017,2018,2019
AP3130LY,,,,,,227467184.0,258696160.0
AP3233LU,24486000.0,12707000.0,15223000.0,19698000.0,13002000.0,15354000.000000002,21537498.0
AP3238ZU,129366000.0,45964000.0,72000000.0,,,,
AP3330LB,11003631000.0,9221626000.0,,,,,
AP3630LG,687337000.0,1116501500.0,1073793900.0,1314658000.0,1484210200.0,1686549999.9999998,1079405800.0
AP3633BL,1192579500.0,1038703000.0,443925000.0,896486000.0,1238697000.0000002,968316000.0,746455000.0
AP3732KC,,,,,,,13119000.0
BJ4868IW,13600599.0,,,,,,
BJ8022IZ,2199240000.0,2544552000.0,2989908000.0,3435304999.9999995,3110576000.0,3371535000.0,3361712000.0
BK0647IG,68372000.0,50317000.0,62398000.00000001,67325000.0,62700000.0,68962000.0,57197000.0
BK0701IW,945343000.0,1012541000.0,1107507000.0,1785731000.0,1388204000.0,1147513000.0,1708853000.0
BK1627IX,14070000.0,10394671.0,,38899492.0,40498000.0,18302994.0,13405349.999999998
BK1732IQ,168432000.0,45352000.0,,,,,
BK3506IS,143421800.0,138175500.0,136027000.0,132084479.99999999,134405900.0,136451000.0,146545000.0
BK4723IL,,,,16291419.999999998,25328000.0,30084000.0,77920000.0
BL6217IM,1151626000.0,1524569000.0,1328272000.0,1979474999.9999998,1964045999.9999998,1848825000.0,1560532000.0
BP3239LA,,,,,,,150735140.0
BQ3789IK,29535000.0,22995190.0,26972800.0,24907000.0,22980020.0,21332635.0,25033783.0
BS2879IC,21423000.0,13824000.0,12871000.0,12128999.999999998,11548000.0,,
BS5371IZ,18344309.0,12965025.0,13188000.0,52296785.0,16768000.0,23972959.999999996,28421190.0
BS5380IC,472000000.0,139000000.0,435000000.00000006,1584000000.0,1019000000.0,783326999.9999999,1283098000.0
BS5673IQ,21851000.0,16555000.0,19483899.999999996,19974300.0,15954400.0,15599300.0,14812000.0
BS8028IR,11336000.0,,,,,,
BS8192IV,9058348000.0,6856848000.0,5446922000.0,1964074000.0,1954232000.0,1339391000.0000002,1192609000.0
BT0596IS,,,,11920000.0,,,
BU5631IR,24816000.0,,,21818000.000000004,34093350.0,33403995.999999996,
BV3006IN,725000000.0,978000000.0,679000000.0,1529290000.0,2021730000.0,1308970000.0000002,1125210000.0
BV3073IE,9946000.0,,,,,,
CP3035MK,,1840000000.0,2371371000.0,2029550000.0,2491270000.0,2573845000.0,2380000000.0
CP3331RF,,,,,18500000.0,15073352.0,22100000.0
CP3432NF,2083000.0,2662000.0,1769000.0,2936000.0,2363020.0,2782570.0,3199999.9999999995
CP3437SS,,19261000.0,,,,,
CP3537SM,290187000.0,130359000.0,,,,,
DP3030XH,,,55040.0,53626680.0,252956500.0,147858670.0,248426190.0
DP3139LA,29359000.0,18800000.0,11400000.000000002,13125999.999999998,23929361.0,18380408.0,
DP3330NX,,9196700.0,74600000.0,74400000.0,68000000.0,68600000.0,64400000.0
DP3338DC,,,,81315000.0,80964700.0,82607000.0,86684000.0
DP3433DM,,,,827660500.0,940187560.0,346663100.0,68210580.0
DP3933DN,,,,1933817000.0,1565874000.0,1596272000.0,799366000.0
EP3133DQ,,,,306634000.0,332016000.0,218095000.0,329963000.00000006
EP3133RZ,,,4769920000.0,2679892000.0,2448447000.0,3332539000.0,728543000.0
EP3208PD,,,,,,,66183000.0
EP3337NY,640847200.0,366887000.0,344555000.0,351399000.0,361557000.0,351643000.0,355487000.0
EP3433LZ,2770626000.0,200000.0,,,,,
EP3533RY,,,,2517274800.0,1829480000.0,1993263800.0,2438547000.0
EP3538LB,6368144000.0,4644427000.0,3854947000.0,1184377000.0,,,
EP3833LY,288000000.0,326000000.0,681999999.9999999,1404000000.0,606000000.0,609000000.0,934000000.0
EP3934WC,,143622400.0,561487000.0,,,,
FP3031HJ,97444000.0,84557000.0,100049000.0,104179999.99999999,118793000.0,106081999.99999999,96474000.0
FP3034XD,58200000.0,62100000.0,60800000.0,56500000.0,60100000.0,62800000.0,62600000.0
FP3137CG,2284000000.0,2718000000.0,1290000000.0,,,1374000000.0,2365486500.0
FP3230LM,5569000.0,3743980.0,,,,,
FP3735RX,,,22733000.0,30075290.0,21193680.0,31785469.999999996,30199000.0
